################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   7.2996238468379829E-04   6.9440331226577108E+00   4.0945211460436575E+00   1.1525236725804680E+00
         1          2   0.0000000000000000E+00   1.0436930650091069E+01   6.2328491246099726E-01   1.2922080946783330E+00
         1          3   4.4283875600396953E-04   6.0225477287504718E+00   3.4701172719562066E+00   9.8946790145469488E-01
         1          4   0.0000000000000000E+00   9.1293919246373214E+00   5.3163933426846188E-01   1.1060266614882976E+00
         1          5   2.0449037661478080E-04   4.8798863063025397E+00   2.7059442665446083E+00   7.8698735449812285E-01
         1          6   0.0000000000000000E+00   7.5017725415551384E+00   4.1931927930437518E-01   8.7773736945368552E-01
         1          7   6.1935142080711517E-05   3.5886023544352024E+00   1.8674361613356041E+00   5.5942920446527589E-01
         1          8   0.0000000000000000E+00   5.6589430225264632E+00   2.9551484694136904E-01   6.2563947522507690E-01
         1          9   9.7790290654155126E-06   2.2955720910341930E+00   1.0779835074765438E+00   3.3707281240360132E-01
         1         10   0.0000000000000000E+00   3.8557108295980740E+00   1.7743214243609978E-01   3.8384016097267154E-01
         1         11   5.6469814564716580E-07   1.1933498736856054E+00   4.7841183981801494E-01   1.5907837482668472E-01
         1         12   0.0000000000000000E+00   2.2601493557693462E+00   8.4731315235470395E-02   1.9114173131799911E-01
         1         13   2.1396305983481368E-16   1.1839609625531299E-01   7.3449241711480671E-03   4.5953222216037221E-03
         1         14   0.0000000000000000E+00   2.7802442550968792E-01   2.6245978990956319E-03   9.5438396015119532E-03
         1         15   2.9020387616016904E-14   5.3785110246901402E-01   5.7926877885515031E-02   2.9308731420737231E-02
         1         16   0.0000000000000000E+00   1.1598802196899185E+00   1.6836262935688604E-02   5.2132901151561495E-02
         1         17   2.5289113994532986E-12   1.5702672357351299E+00   3.0402230886195208E-01   1.2917975844524482E-01
         1         18   0.0000000000000000E+00   3.3218706944366114E+00   7.2549644962962317E-02   1.9440127527617737E-01
         1         19   1.4138902056966532E-10   3.3289032913271757E+00   1.0643091466611190E+00   3.9769379639304675E-01
         1         20   0.0000000000000000E+00   6.3675405897214992E+00   2.1133251253509225E-01   5.0224738452152340E-01
         1         21   5.0834746030786188E-09   5.9102507505448454E+00   2.5000668870795599E+00   8.5592516212296144E-01
         1         22   0.0000000000000000E+00   8.9374955573718768E+00   4.2131858627955315E-01   9.1603573461879795E-01
         1         23   1.1743849027634549E-07   7.0288685092746972E+00   3.9809307121139663E+00   1.2716170565498015E+00
         1         24   0.0000000000000000E+00   9.4088194536913043E+00   5.8742665131417982E-01   1.2082478787262600E+00
         1         25   1.7436225813033379E-06   6.6666232513902681E+00   4.3958714876508482E+00   1.2958560338178586E+00
         1         26   0.0000000000000000E+00   7.7860990660984051E+00   5.9733689307369398E-01   1.1993836100092023E+00
         1         27   1.6640948095808239E-05   5.3772278602491195E+00   3.5403619725940421E+00   9.4320211271233867E-01
         1         28   0.0000000000000000E+00   6.6350641705113569E+00   4.7774412728260746E-01   9.6164580338571193E-01
         1         29   1.0211315048356215E-04   3.9034648556374134E+00   2.3004181342551817E+00   5.6552968343174492E-01
         1         30   0.0000000000000000E+00   5.7949828298453916E+00   3.3357536867261534E-01   6.8803289277174429E-01
         1         31   4.0284711700531154E-04   2.4829402934096882E+00   1.3831322920957829E+00   3.3804139259023402E-01
         1         32   0.0000000000000000E+00   4.2825870897816474E+00   2.1862486316637073E-01   4.6515423778544218E-01
         1         33   1.0226720892865596E-03   1.5857232655941988E+00   8.1845827528711956E-01   2.1251215892249364E-01
         1         34   0.0000000000000000E+00   2.6355231126945000E+00   1.3163469685637250E-01   2.8363693163654957E-01
         1         35   1.0374156179585041E-03   9.2160070680646622E-01   4.4309850255179756E-01   1.2629108355238311E-01
         1         36   0.0000000000000000E+00   1.3124546161821826E+00   6.7519899246024251E-02   1.4419950656794497E-01
         1         37   5.7012911148727502E-02   1.0584800451220920E+01   6.5613522043070969E+00   1.7797742469108009E+00
         1         38   0.0000000000000000E+00   1.5473555040086660E+01   9.7882181609902619E-01   2.0086048062891986E+00
         1         39   3.8782434613612374E-02   9.1986926544698377E+00   5.6312115489893051E+00   1.5406573809567876E+00
         1         40   0.0000000000000000E+00   1.3510760721075879E+01   8.4425326310451232E-01   1.7364347762068373E+00
         1         41   2.1396691046954037E-02   7.5185193023625470E+00   4.4939540148514450E+00   1.2470329876984314E+00
         1         42   0.0000000000000000E+00   1.1106353614422819E+01   6.7918723757791688E-01   1.4024149398350314E+00
         1         43   8.5501114264112093E-03   5.6487287635374219E+00   3.2385381230134715E+00   9.1963374825864364E-01
         1         44   0.0000000000000000E+00   8.5263828144748750E+00   4.9613408680044530E-01   1.0316216073644182E+00
         1         45   2.0798915535926170E-03   3.7983198896519510E+00   2.0252691918198433E+00   5.9627772568006887E-01
         1         46   0.0000000000000000E+00   5.9281474302186403E+00   3.1791602789868967E-01   6.6974553816869797E-01
         1         47   2.3576456015210167E-04   2.1930757354319041E+00   1.0358166935565702E+00   3.2157914337828047E-01
         1         48   0.0000000000000000E+00   3.6941409939448251E+00   1.7028080179259286E-01   3.6799998752856683E-01
         1         49   8.2148100693853666E-06   1.0054088633178269E+00   3.9359465843752017E-01   1.3172015073293450E-01
         1         50   0.0000000000000000E+00   1.9588780335937215E+00   7.0651453859402150E-02   1.6067891969925113E-01
         1         51   3.8913380182419445E-08   3.7161761375179247E-01   9.5430888823497415E-02   3.5970883774263572E-02
         1         52   0.0000000000000000E+00   8.0800676212145395E-01   2.0099096136219137E-02   5.0569046409271262E-02
         1         53   2.7816989075576909E-24   1.3617179564977761E-02   1.5042231505323891E-04   2.1909213375141703E-04
         1         54   0.0000000000000000E+00   3.7034188148654806E-02   1.0856686163170743E-04   6.5511669414652668E-04
         1         55   1.9262684371010455E-21   9.0305280420550305E-02   2.1084770259178830E-03   2.1644052677793919E-03
