################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.3906755379291000E+00 a         1     0     1     1     1
  2.3390766925701809E-01 a         2     0     1     1     2
  7.6700651266277753E-01 a         3     0     1     1     3
 -8.2829991646328016E-01 a         4     0     1     1     4
 -2.7265385125124697E-01 a         5     0     1     1     5
  6.0475560968762831E-02 a         6     0     1     1     6
 -3.1118979018153695E-02 a         7     0     1     1     7
 -8.3445161740301740E-02 a         8     0     1     1     8
  2.3106777524147012E-02 a         9     0     1     1     9
  2.4023970308822384E-01 a        10     0     1     1    10
  1.0508956307660235E+00 a        11     0     1     1    11
 -1.4530132497551673E-01 a        12     0     1     1    12
  1.4998120153065331E+00 a        13     0     2     1     1
  8.2325377176323475E-03 a        14     0     2     1     2
 -2.2857296801860233E-01 a        15     0     2     1     3
 -4.4388237232706806E-01 a        16     0     2     1     4
 -7.2649465123488022E-01 a        17     0     2     1     5
 -5.9634764555572184E-01 a        18     0     2     1     6
 -2.0343827621776064E-01 a        19     0     2     1     7
 -3.5107131629375804E-01 a        20     0     2     1     8
  5.8835473152116929E-02 a        21     0     2     1     9
  1.0164299353373951E+00 a        22     0     2     1    10
  2.4520019917670052E-01 a        23     0     2     1    11
  5.2479415632050086E-01 a        24     0     2     1    12
 -9.3839395345196486E-01 a        25     0     3     1     1
  3.6130368459373291E-01 a        26     0     3     1     2
  9.7615784782289827E-01 a        27     0     3     1     3
 -4.9975444406002051E-01 a        28     0     3     1     4
 -2.0898514011116753E-01 a        29     0     3     1     5
 -1.0339083567922065E-01 a        30     0     3     1     6
 -3.5931495757445253E-02 a        31     0     3     1     7
 -3.1144966346608998E-02 a        32     0     3     1     8
 -3.6003049519358010E-02 a        33     0     3     1     9
  2.6806474426089305E-01 a        34     0     3     1    10
  5.0140850980880114E-01 a        35     0     3     1    11
