frame,timestep,cubic_diamond_count,hexagonal_diamond_count
0,100,0,312
1,200,0,302
2,300,0,306
3,400,0,303
4,500,0,310
5,600,0,305
6,700,0,304
7,800,0,305
8,900,0,316
9,1000,0,314
10,1100,0,318
11,1200,0,314
12,1300,0,312
13,1400,0,316
14,1500,0,333
15,1600,0,316
16,1700,0,321
17,1800,0,327
18,1900,0,318
19,2000,0,320
20,2100,0,312
21,2200,0,311
22,2300,0,303
23,2400,0,327
24,2500,0,317
25,2600,0,315
26,2700,0,322
27,2800,0,322
28,2900,0,310
29,3000,0,322
30,3100,0,318
31,3200,0,320
32,3300,0,316
33,3400,0,312
34,3500,0,316
35,3600,0,311
36,3700,0,307
37,3800,0,315
38,3900,0,306
39,4000,0,305
40,4100,0,320
41,4200,0,324
42,4300,0,324
43,4400,0,324
44,4500,0,330
45,4600,0,330
46,4700,0,316
47,4800,0,311
48,4900,0,317
49,5000,0,314
