frame,timestep,cubic_diamond_count,hexagonal_diamond_count
0,100,0,312
1,200,0,302
2,300,0,306
3,400,0,297
4,500,0,296
5,600,0,297
6,700,0,294
7,800,0,302
8,900,0,291
9,1000,0,289
10,1100,0,284
11,1200,0,285
12,1300,0,276
13,1400,0,282
14,1500,0,275
15,1600,0,279
16,1700,0,298
17,1800,0,291
18,1900,0,291
19,2000,0,285
20,2100,0,286
21,2200,0,290
22,2300,0,304
23,2400,0,308
24,2500,0,302
25,2600,0,283
26,2700,0,295
27,2800,0,283
28,2900,0,292
29,3000,0,298
30,3100,0,281
31,3200,0,292
32,3300,0,290
33,3400,0,293
34,3500,0,296
35,3600,0,282
36,3700,0,287
37,3800,0,307
38,3900,0,307
39,4000,0,298
40,4100,0,295
41,4200,0,294
42,4300,0,301
43,4400,0,282
44,4500,0,293
45,4600,0,292
46,4700,0,282
47,4800,0,282
48,4900,0,288
49,5000,0,289
50,5100,0,294
51,5200,0,287
52,5300,0,272
53,5400,0,281
54,5500,0,271
55,5600,0,281
56,5700,0,273
57,5800,0,270
58,5900,0,288
59,6000,0,276
60,6100,0,283
61,6200,0,280
62,6300,0,292
63,6400,0,299
64,6500,0,287
65,6600,0,291
66,6700,0,289
67,6800,0,288
68,6900,0,280
69,7000,0,289
70,7100,0,292
71,7200,0,296
72,7300,0,296
73,7400,0,290
74,7500,0,288
75,7600,0,285
76,7700,0,287
77,7800,0,299
78,7900,0,294
79,8000,0,286
80,8100,0,287
81,8200,0,290
82,8300,0,296
83,8400,0,281
84,8500,0,285
85,8600,0,293
86,8700,0,293
87,8800,0,286
88,8900,0,288
89,9000,0,289
