frame,timestep,total_atoms,cubic_diamond_count,hexagonal_diamond_count,other_count
0,100,4360,0,312,4048
1,200,4360,0,302,4058
2,300,4360,0,306,4054
3,400,4360,0,297,4063
4,500,4360,0,296,4064
5,600,4360,0,297,4063
6,700,4360,0,294,4066
7,800,4360,0,302,4058
8,900,4360,0,291,4069
9,1000,4360,0,289,4071
10,1100,4360,0,284,4076
11,1200,4360,0,285,4075
12,1300,4360,0,276,4084
13,1400,4360,0,282,4078
14,1500,4360,0,275,4085
15,1600,4360,0,279,4081
16,1700,4360,0,298,4062
17,1800,4360,0,291,4069
18,1900,4360,0,291,4069
19,2000,4360,0,285,4075
20,2100,4360,0,286,4074
21,2200,4360,0,290,4070
22,2300,4360,0,304,4056
23,2400,4360,0,308,4052
24,2500,4360,0,302,4058
25,2600,4360,0,283,4077
26,2700,4360,0,295,4065
27,2800,4360,0,283,4077
28,2900,4360,0,292,4068
29,3000,4360,0,298,4062
30,3100,4360,0,281,4079
31,3200,4360,0,292,4068
32,3300,4360,0,290,4070
33,3400,4360,0,293,4067
34,3500,4360,0,296,4064
35,3600,4360,0,282,4078
36,3700,4360,0,287,4073
37,3800,4360,0,307,4053
38,3900,4360,0,307,4053
39,4000,4360,0,298,4062
40,4100,4360,0,295,4065
41,4200,4360,0,294,4066
42,4300,4360,0,301,4059
43,4400,4360,0,282,4078
44,4500,4360,0,293,4067
45,4600,4360,0,292,4068
46,4700,4360,0,282,4078
47,4800,4360,0,282,4078
48,4900,4360,0,288,4072
49,5000,4360,0,289,4071
50,5100,4360,0,294,4066
51,5200,4360,0,287,4073
52,5300,4360,0,272,4088
53,5400,4360,0,281,4079
54,5500,4360,0,271,4089
55,5600,4360,0,281,4079
56,5700,4360,0,273,4087
57,5800,4360,0,270,4090
58,5900,4360,0,288,4072
59,6000,4360,0,276,4084
60,6100,4360,0,283,4077
61,6200,4360,0,280,4080
62,6300,4360,0,292,4068
63,6400,4360,0,299,4061
64,6500,4360,0,287,4073
65,6600,4360,0,291,4069
66,6700,4360,0,289,4071
67,6800,4360,0,288,4072
68,6900,4360,0,280,4080
69,7000,4360,0,289,4071
70,7100,4360,0,292,4068
71,7200,4360,0,296,4064
72,7300,4360,0,296,4064
73,7400,4360,0,290,4070
74,7500,4360,0,288,4072
75,7600,4360,0,285,4075
76,7700,4360,0,287,4073
77,7800,4360,0,299,4061
78,7900,4360,0,294,4066
79,8000,4360,0,286,4074
80,8100,4360,0,287,4073
81,8200,4360,0,290,4070
82,8300,4360,0,296,4064
83,8400,4360,0,281,4079
84,8500,4360,0,285,4075
85,8600,4360,0,293,4067
86,8700,4360,0,293,4067
87,8800,4360,0,286,4074
88,8900,4360,0,288,4072
89,9000,4360,0,289,4071
