frame,timestep,cubic_count,hexagonal_count,other_count,total_atoms
0,100,0,312,4048,4360
1,200,0,302,4058,4360
2,300,0,306,4054,4360
3,400,0,297,4063,4360
4,500,0,296,4064,4360
5,600,0,297,4063,4360
6,700,0,294,4066,4360
7,800,0,302,4058,4360
8,900,0,291,4069,4360
9,1000,0,289,4071,4360
10,1100,0,284,4076,4360
11,1200,0,285,4075,4360
12,1300,0,276,4084,4360
13,1400,0,282,4078,4360
14,1500,0,275,4085,4360
15,1600,0,279,4081,4360
16,1700,0,298,4062,4360
17,1800,0,291,4069,4360
18,1900,0,291,4069,4360
19,2000,0,285,4075,4360
20,2100,0,286,4074,4360
21,2200,0,290,4070,4360
22,2300,0,304,4056,4360
23,2400,0,308,4052,4360
24,2500,0,302,4058,4360
25,2600,0,283,4077,4360
26,2700,0,295,4065,4360
27,2800,0,283,4077,4360
28,2900,0,292,4068,4360
29,3000,0,298,4062,4360
30,3100,0,281,4079,4360
31,3200,0,292,4068,4360
32,3300,0,290,4070,4360
33,3400,0,293,4067,4360
34,3500,0,296,4064,4360
35,3600,0,282,4078,4360
36,3700,0,287,4073,4360
37,3800,0,307,4053,4360
38,3900,0,307,4053,4360
39,4000,0,298,4062,4360
40,4100,0,295,4065,4360
41,4200,0,294,4066,4360
42,4300,0,301,4059,4360
43,4400,0,282,4078,4360
44,4500,0,293,4067,4360
45,4600,0,292,4068,4360
46,4700,0,282,4078,4360
47,4800,0,282,4078,4360
48,4900,0,288,4072,4360
49,5000,0,289,4071,4360
50,5100,0,294,4066,4360
51,5200,0,287,4073,4360
52,5300,0,272,4088,4360
53,5400,0,281,4079,4360
54,5500,0,271,4089,4360
55,5600,0,281,4079,4360
56,5700,0,273,4087,4360
57,5800,0,270,4090,4360
58,5900,0,288,4072,4360
59,6000,0,276,4084,4360
60,6100,0,283,4077,4360
61,6200,0,280,4080,4360
62,6300,0,292,4068,4360
63,6400,0,299,4061,4360
64,6500,0,287,4073,4360
65,6600,0,291,4069,4360
66,6700,0,289,4071,4360
67,6800,0,288,4072,4360
68,6900,0,280,4080,4360
69,7000,0,289,4071,4360
70,7100,0,292,4068,4360
71,7200,0,296,4064,4360
72,7300,0,296,4064,4360
73,7400,0,290,4070,4360
74,7500,0,288,4072,4360
75,7600,0,285,4075,4360
76,7700,0,287,4073,4360
77,7800,0,299,4061,4360
78,7900,0,294,4066,4360
79,8000,0,286,4074,4360
80,8100,0,287,4073,4360
81,8200,0,290,4070,4360
82,8300,0,296,4064,4360
83,8400,0,281,4079,4360
84,8500,0,285,4075,4360
85,8600,0,293,4067,4360
86,8700,0,293,4067,4360
87,8800,0,286,4074,4360
88,8900,0,288,4072,4360
89,9000,0,289,4071,4360
